url,label
http://paypal-login-secure.xyz,phishing
http://maybank-verify-account.top,phishing
http://secure-facebook-login.ru,phishing
http://shopee-free-voucher.win,phishing
http://update-bank-account-confirm.info,phishing
http://bit.ly/secure-login-now,phishing
http://192.168.0.1/verify,phishing
http://account-security-alert.xyz,phishing
https://google.com,legit
https://youtube.com,legit
https://github.com,legit
https://maybank2u.com.my,legit
https://shopee.com.my,legit
https://lazada.com.my,legit
https://facebook.com,legit
https://openai.com,legit
https://www.uptm.edu.my,legit
